prompt,model_answer,gold_answer,source,is_hallucination,explanation
Кто написал «Божественную комедию»?,«Божественная комедия» была написана итальянским поэтом Данте Алигьери. Этот эпический поэтический произведение было создано в период с 1308 по 1321 годы и считается одним из величайших произведений мировой литературы.,Данте Алигьери,subtle_cold,False,"Ответ правильно указывает автора (Данте Алигьери) и корректный период написания (1308–1321), фактических ошибок нет."
Сколько нуклеотидов кодируют одну аминокислоту?,"### Сколько нуклеотидов нужно для кодирования одной аминокислоты?

Уникальность генетического кода состоит в том, что каждый триплет (тройная комбинация нуклеотидов) кодирует одну конкретную аминокислоту или служит сигналом начала и окончания трансляции. При этом для кодирования 20 различных аминокислот используется именно такой принцип, где на каждую аминокислоту приходится свой особый триплет — это явление называется **дискретностью генетического кода**.

---

#### Основные",3,subtle_hot,False,"Ответ правильно указывает, что для кодирования одной аминокислоты нужен триплет (3 нуклеотида); нет неверных данных."
Кто режиссёр фильма «Сталкер»?,Режиссёром фильма «Сталкер» является Андрей Тарковский.,Андрей Тарковский,subtle_warm,False,"Ответ полностью совпадает с правильным: режиссёром фильма «Сталкер» является Андрей Тарковский, ошибок нет."
Какой элемент имеет атомный номер 1?,Элемент с атомным номером 1 — это водород (H).,водород,subtle_hot,False,Ответ верен: атомный номер 1 соответствует водороду
В каком году умер Сталин?,Иосиф Виссарионович Сталин (настоящая фамилия Джугашвили) скончался 5 марта 1953 года.,1953,subtle_warm,False,"Ответ правильно указывает год смерти Сталина — 1953, совпадая с эталоном; дополнительные детали не противоречат фактам."
Какая формула воды?,"### Формула воды

Формула воды — это **H₂O**. 

#### Что означает запись H₂O?
- **H** — обозначает водород;
- **2** — количество атомов водорода;
- **O** — обозначает кислород;
- цифра 1 в формуле кислорода обычно не пишется.

#### Особенности молекулы воды:
- В составе воды два атома водорода и один атом кислорода;
- Молекула полярна — положительный заряд на одном конце и",H2O,subtle_hot,False,"Ответ правильно указывает химическую формулу воды как H₂O, все пояснения соответствуют реальному составу молекулы"
Кто выиграл чемпионат мира по футболу в 2018 году?,"Чемпионат мира по футболу 2018 года проходил в России с 14 июня по 15 июля. В финале встретились сборные Франции и Хорватии. Хозяева поля — сборная Франции — уверенно обыграли сборную Хорватии со счетом 4–2 и стали чемпионами мира впервые с 1998 года. Ключевым игроком матча стал Антуан Гризманн, который забил один из голов и был признан лучшим футболистом турнира.",Франция,subtle_hot,True,"Модель ошибочно утверждает, что Антуан Гризманн был признан лучшим футболистом турнира, тогда как победителем Золотого мяча 2018 года был Лука Модрич"
Какой атомный номер у золота?,Атомный номер химического элемента — это количество протонов в ядре атома данного элемента. Атомный номер золота (Au) равен 79.,79,subtle_warm,False,Ответ точно соответствует эталону: атомный номер золота действительно 79
Какая столица Мьянмы?,Столица Мьянмы называется Нейпьидо.,Нейпьидо,subtle_hot,False,"Ответ точно совпадает с эталонным: столица Мьянмы действительно Нейпьидо, ошибок нет."
Какова площадь России в квадратных километрах?,Площадь Российской Федерации составляет 17 098 246 квадратных километров.,17098242,subtle_hot,True,"Модель указала площадь России 17 098 246 км², что отличается от правильного значения 17 098 242 км² (разница в 4 км²), следовательно, содержит фактологическую ошибку."
